DATE,avg_sell_price_tick,price_high_b,avg_sell_price_wrds,avg_price_m,avg_buy_price_Retail,price_high_m,avg_buy_price_Inst20k,avg_buy_price_Inst50k,avg_buy_price_LR,BestBidDepth_Share_tw
2020-09-28,246.24225574,248.17,246.24597955,246.26457422,246.23630817,247.56,246.25792654,246.32160435,246.27673067,140.70925693
2020-09-29,247.13422597,246.0,247.1514796,247.15347247,247.19498129,248.74,247.12658126,247.03838923,247.15030956,223.42791528
2020-09-30,245.95058032,246.4,245.97763406,246.01039829,246.18024303,247.83,245.94323296,246.057635,246.03164244,136.03746928
2020-10-01,250.58791971,249.0,250.59556876,250.62016899,250.77661173,252.78,250.60604706,250.89548131,250.63893947,144.86452612
2020-10-02,246.60336191,249.99,246.65942149,246.63533141,246.97145607,251.38,246.75411427,247.15105965,246.59841036,142.97671343
2020-10-05,248.23627975,247.51,248.24286206,248.25660012,248.23143362,249.6,248.12338258,248.3188807,248.27006495,149.62586373
2020-10-06,249.81506538,249.5,249.79417368,249.91309432,250.28980154,252.43,250.16029647,250.68347545,249.98113048,158.72946031
2020-10-07,250.95245199,250.0,250.93697683,250.99205048,250.9217205,253.15,251.02401633,251.15811923,251.03060961,132.64255368
2020-10-08,250.03667245,254.0,250.04041745,250.07903083,250.29846413,253.4665,250.05467935,250.37174028,250.12445771,129.65054154
2020-10-09,252.01700767,253.0,251.99898569,252.05426135,252.08270106,254.08,252.11726534,252.00637233,252.10815128,169.03534339
2020-10-12,254.18670344,255.092,254.17124297,254.24768846,254.37617273,256.0,254.29656164,254.38897929,254.31295755,151.18508839
2020-10-13,253.78159519,255.54,253.77078071,253.81391171,253.63663779,255.55,253.79578043,253.6963774,253.86938104,137.27449795
2020-10-14,256.46213541,256.43,256.44691335,256.53835973,256.43196978,260.48,256.82984145,257.12668579,256.60509181,131.53794278
2020-10-15,251.67478011,256.1,251.73153046,251.76025385,251.75440781,255.29,251.9644173,251.66564414,251.78360556,138.77730892
2020-10-16,247.61650629,253.99,247.64115716,247.6478267,247.64394983,254.0,247.56827757,247.85200818,247.64807054,159.46805134
2020-10-19,243.90365597,249.57,243.92723063,243.98259609,244.24157376,249.42,244.00230015,244.3026518,244.0470951,129.02317946
2020-10-20,241.69554828,245.0,241.6940031,241.75993978,241.87836806,245.53,241.65122322,242.0593975,241.80481398,122.26887434
2020-10-21,236.61290198,242.0,236.62930711,236.63846008,236.77833046,239.55,236.67644042,236.72793167,236.65646558,142.05066467
2020-10-22,236.78907915,237.85,236.76352336,236.81481508,236.58383572,239.68,236.9320739,236.48504,236.86475007,141.20585606
2020-10-23,236.63500225,239.0,236.62494504,236.65679627,236.69756197,238.72,236.6581705,236.69791212,236.69465682,140.366398
